Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Oliveira Catrambi;Jardim Vila Formosa;2;1;Apartamento;R$ 6.000;6232;Rua Oliveira Catrambi, São Paulo, Brasil;50;Jardim Vila Formosa, Rua Oliveira Catrambi;Jardim Vila Formosa, Rua Oliveira Catrambi, São Paulo, Brasil
Rua da Glória;Liberdade;2;1;Apartamento;R$ 5.600;6653;Rua da Glória, São Paulo, Brasil;50;Liberdade, Rua da Glória;Liberdade, Rua da Glória, São Paulo, Brasil
Rua Alvorada;Vila Olímpia;2;1;Apartamento;R$ 5.400;7067;Rua Alvorada, São Paulo, Brasil;50;Vila Olímpia, Rua Alvorada;Vila Olímpia, Rua Alvorada, São Paulo, Brasil
Rua Pelotas;Vila Mariana;2;1;Apartamento;R$ 4.725;5907;Rua Pelotas, São Paulo, Brasil;50;Vila Mariana, Rua Pelotas;Vila Mariana, Rua Pelotas, São Paulo, Brasil
Rua Bela Cintra;Consolação;2;1;Apartamento;R$ 4.500;5574;Rua Bela Cintra, São Paulo, Brasil;50;Consolação, Rua Bela Cintra;Consolação, Rua Bela Cintra, São Paulo, Brasil
Rua Tomé Portes;Vila Dom Pedro Ii;2;1;Apartamento;R$ 4.210;5300;Rua Tomé Portes, São Paulo, Brasil;50;Vila Dom Pedro Ii, Rua Tomé Portes;Vila Dom Pedro Ii, Rua Tomé Portes, São Paulo, Brasil
Rua Jaboticabal;Vila Bertioga;2;1;Apartamento;R$ 4.000;5009;Rua Jaboticabal, São Paulo, Brasil;50;Vila Bertioga, Rua Jaboticabal;Vila Bertioga, Rua Jaboticabal, São Paulo, Brasil
Avenida Varsóvia;Vila Metalurgica;2;1;Apartamento;R$ 4.000;4463;Avenida Varsóvia, São Paulo, Brasil;50;Vila Metalurgica, Avenida Varsóvia;Vila Metalurgica, Avenida Varsóvia, São Paulo, Brasil
Rua Constantino de Sousa;Campo Belo;2;1;Apartamento;R$ 3.950;5221;Rua Constantino de Sousa, São Paulo, Brasil;50;Campo Belo, Rua Constantino de Sousa;Campo Belo, Rua Constantino de Sousa, São Paulo, Brasil
Rua Cônego Vicente Miguel Marino;Barra Funda;2;1;Apartamento;R$ 3.900;4554;Rua Cônego Vicente Miguel Marino, São Paulo, Brasil;50;Barra Funda, Rua Cônego Vicente Miguel Marino;Barra Funda, Rua Cônego Vicente Miguel Marino, São Paulo, Brasil
Rua Domingos Paiva;Brás;2;1;Apartamento;R$ 3.800;4587;Rua Domingos Paiva, São Paulo, Brasil;50;Brás, Rua Domingos Paiva;Brás, Rua Domingos Paiva, São Paulo, Brasil
Rua Sampaio Viana;Vila Mariana;2;1;Apartamento;R$ 3.590;6713;Rua Sampaio Viana, São Paulo, Brasil;50;Vila Mariana, Rua Sampaio Viana;Vila Mariana, Rua Sampaio Viana, São Paulo, Brasil
Rua Comendador Miguel Calfat;Vila Nova Conceição;2;1;Apartamento;R$ 3.500;4861;Rua Comendador Miguel Calfat, São Paulo, Brasil;50;Vila Nova Conceição, Rua Comendador Miguel Calfat;Vila Nova Conceição, Rua Comendador Miguel Calfat, São Paulo, Brasil
Rua Jaguarete;Casa Verde;2;1;Apartamento;R$ 3.264;3977;Rua Jaguarete, São Paulo, Brasil;50;Casa Verde, Rua Jaguarete;Casa Verde, Rua Jaguarete, São Paulo, Brasil
Rua Inhambú;Vila Uberabinha;2;1;Apartamento;R$ 3.250;4077;Rua Inhambú, São Paulo, Brasil;50;Vila Uberabinha, Rua Inhambú;Vila Uberabinha, Rua Inhambú, São Paulo, Brasil
Rua Martim Francisco;Santa Cecília;2;1;Apartamento;R$ 3.200;4455;Rua Martim Francisco, São Paulo, Brasil;50;Santa Cecília, Rua Martim Francisco;Santa Cecília, Rua Martim Francisco, São Paulo, Brasil
Rua Martim Francisco;Vila Buarque;2;1;Apartamento;R$ 3.200;4406;Rua Martim Francisco, São Paulo, Brasil;50;Vila Buarque, Rua Martim Francisco;Vila Buarque, Rua Martim Francisco, São Paulo, Brasil
Rua Abílio Soares;Paraíso;2;1;Apartamento;R$ 3.100;4340;Rua Abílio Soares, São Paulo, Brasil;50;Paraíso, Rua Abílio Soares;Paraíso, Rua Abílio Soares, São Paulo, Brasil
Rua Doutor Djalma Pinheiro Franco;Vila Santa Catarina;2;1;Apartamento;R$ 3.100;3648;Rua Doutor Djalma Pinheiro Franco, São Paulo, Brasil;50;Vila Santa Catarina, Rua Doutor Djalma Pinheiro Franco;Vila Santa Catarina, Rua Doutor Djalma Pinheiro Franco, São Paulo, Brasil
Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte);2;1;Apartamento;R$ 3.052;3819;Avenida Leôncio de Magalhães, São Paulo, Brasil;50;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães, São Paulo, Brasil
Rua Glicério;Liberdade;2;1;Apartamento;R$ 3.000;3745;Rua Glicério, São Paulo, Brasil;50;Liberdade, Rua Glicério;Liberdade, Rua Glicério, São Paulo, Brasil
Rua do Lucas;Brás;2;1;Apartamento;R$ 3.000;3578;Rua do Lucas, São Paulo, Brasil;50;Brás, Rua do Lucas;Brás, Rua do Lucas, São Paulo, Brasil
Rua Capistrano de Abreu;Barra Funda;2;1;Apartamento;R$ 2.900;3667;Rua Capistrano de Abreu, São Paulo, Brasil;50;Barra Funda, Rua Capistrano de Abreu;Barra Funda, Rua Capistrano de Abreu, São Paulo, Brasil
Avenida João de Barros;Socorro;2;1;Apartamento;R$ 2.900;3562;Avenida João de Barros, São Paulo, Brasil;50;Socorro, Avenida João de Barros;Socorro, Avenida João de Barros, São Paulo, Brasil
Rua Caetanópolis;Jaguaré;2;1;Apartamento;R$ 2.900;3515;Rua Caetanópolis, São Paulo, Brasil;50;Jaguaré, Rua Caetanópolis;Jaguaré, Rua Caetanópolis, São Paulo, Brasil
